店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
旬の鮮魚と日本酒 作 ‐ザク‐ 新橋店,050-5494-7498,,東京都,港区新橋,2-2-6,小早川ビル1F,https://gj6h901.gorp.jp/,True
国産黒毛和牛 焼肉 彩伽亭,050-5488-1441,,東京都,豊島区池袋,2-41-3,,https://ggp5700.gorp.jp/,True
個室確約 おでんと焼き鳥と海鮮個室居酒屋 中原 新橋店,050-5488-1671,,東京都,港区新橋,2-15-18,プラザT23F,https://gjcb600.gorp.jp/,True
全席完全個室居酒屋 牛タンと和牛炉端焼き吟の利久 新宿店,050-5489-0652,,東京都,新宿区西新宿,1-18-13,近江ビル3F,https://gh1u708.gorp.jp/,True
全席個室居酒屋 四季宴 池袋本店,050-5487-5532,,東京都,豊島区西池袋,3-29-4,ジェスト7ビル4F,https://gg8s415.gorp.jp/,True
鮮魚と日本酒 完全個室居酒屋 激太魚‐GEKIBUUO‐,03-6380-5162,,東京都,港区港南,2-6-11,,https://gdgc219.gorp.jp/,True
全席個室 六献 品川店,050-5484-5831,,東京都,港区港南,1-8-27,日新ビルB1,https://kidshd.co.jp/,True
天ぷら 海鮮 個室居酒屋 天海 上野駅前店,050-5493-5177,,東京都,台東区上野,6-13-14,UenoGate2F,https://gjj0400.gorp.jp/,True
完全個室居酒屋なごみ屋 八重洲日本橋店,050-5493-7247,,東京都,中央区日本橋,3-3-14,2F,https://ghjw606.gorp.jp/,True
酒と魚 海神－UMIGAMI－,050-5488-1924,,東京都,千代田区神田神保町,1-10-1,ALBUILDINGJINBOCHO1・2F,https://a683705.gorp.jp/,True
SHINAGAWA PIVOT（品川ピボット）,050-2018-8962,,東京都,港区高輪,4-10-30,品川プリンスホテルイーストタワーB1～1F,https://shinagawapivot.dkdining.com/,True
【NEWOPEN】海鮮＆日本酒個室居酒屋 六雁 上野店,050-5494-2711,,東京都,台東区上野,4-8-9,OAKビル5F,https://gjcu703.gorp.jp/,True
炭と地鶏と地酒 宮崎本舗 品川店,050-5489-5366,,東京都,港区港南,2-2-10,鳳和ビル3F,https://gjgj000.gorp.jp/,True
個室居酒屋 蕎麦割烹 山崎 大井町本店,050-5488-1549,,東京都,品川区東大井,5-2-13,大井ビル3F,https://gfhf110.gorp.jp/,True
SUNAO TOKYO 居酒屋個室ダイニング,050-5493-6182,,東京都,中央区八重洲,2-11-7,東栄八重洲ビルB1,https://gfx9108.gorp.jp/,True
旨い魚とレモンサワー 個室居酒屋 トロ政 有楽町日比谷店,050-5494-5190,,東京都,千代田区有楽町,1-2-10,錦ビルB1～1F,https://gh29905.gorp.jp/,True
炭火と酒 炉虎 田町店,050-5485-2382,,東京都,港区芝浦,3-12-1,マキノビル3F,https://waraukadonihauokitaru.gorp.jp/,True
完全個室居酒屋鳥八 八重洲店,050-5494-0716,,東京都,中央区八重洲,1-4-16,,https://g384436.gorp.jp/,True
完全個室肉バル 29DOME水道橋店,050-5484-3516,,東京都,千代田区神田三崎町,2-20-10,勝又ビルB1,https://gdf5822.gorp.jp/,True
串焼きと野菜巻きと九州料理の個室居酒屋 串ばってん 池袋店,050-5484-3771,,東京都,豊島区南池袋,1-23-11,ブロンズビル4F,https://gcd1116.gorp.jp/,True
完全個室 3時間飲み放題 本鮪と板前和食 鮪ノ司 秋葉原店,050-5486-5951,,東京都,千代田区神田佐久間町,1-16,大橋ビル3F,https://gjfv802.gorp.jp/,True
日本料理 花・味兆,050-5485-7115,,東京都,港区南青山,2-4-4,南青山コアパレス1F,https://www.facebook.com/hanamicyou/,True
個室 肴と地酒 ４５６酒場 新橋店,050-5488-5528,,東京都,港区新橋,3-23-1,TRN新橋2F,https://ggxm420.gorp.jp/,True
完全個室居酒屋 福家 新宿店,050-5494-6034,,東京都,新宿区西新宿,1-18-5,甲新ビル5F,https://ggz9502.gorp.jp/,True
海鮮居酒屋 立川 磯坊主,050-5486-4958,,東京都,立川市曙町,2-15-18,,https://ga6t500.gorp.jp/,True
全席個室 じぶんどき 浜松町駅前店,050-2018-8854,,東京都,港区浜松町,1-30-11,浜松町FGビル2F,https://jibundoki.dkdining.com/hamamatsucho/,True
つどい 日比谷,050-5493-8790,,東京都,千代田区有楽町,2-3-2,SIL有楽町ビル9F,https://gfm4704.gorp.jp/,True
黒毛和牛焼肉 スタミナ 上野・御徒町,050-5486-7734,,東京都,台東区上野,4-2-5,鈴木ビル1F・3F,https://gf3y404.gorp.jp/,True
全席個室 極上海鮮北海道紀行 浜松町店,070-9403-7298,,東京都,港区浜松町,2-5-8,B1,https://gce9109.gorp.jp/,True
地鶏とお酒×完全個室鳥雅 浜松町・大門店,050-5487-6742,,東京都,港区浜松町,2-1-6,6F,https://gg9t303.gorp.jp/,True
チーズと肉バル Bistro The Meat池袋本店,050-5487-0701,,東京都,豊島区東池袋,1-39-7,三恵ビル4F,https://gfvg300.gorp.jp/,True
